0x223D	0x2252	# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0x223E	0x2261	# IDENTICAL TO
0x223F	0xFE62	# SMALL PLUS SIGN
0x2240	0xFE63	# SMALL HYPHEN-MINUS
0x2241	0xFE64	# SMALL LESS-THAN SIGN
0x2242	0xFE65	# SMALL GREATER-THAN SIGN
0x2243	0xFE66	# SMALL EQUALS SIGN
0x2244	0x301C	# WAVE DASH
0x2245	0x2229	# INTERSECTION
0x2246	0x222A	# UNION
0x2247	0x22A5	# UP TACK
0x2248	0x2220	# ANGLE
0x2249	0x221F	# RIGHT ANGLE
0x224A	0x22BF	# RIGHT TRIANGLE
0x224B	0x33D2	# SQUARE LOG
0x224C	0x33D1	# SQUARE LN
0x224D	0x222B	# INTEGRAL
0x224E	0x222E	# CONTOUR INTEGRAL
0x224F	0x2235	# BECAUSE
0x2250	0x2234	# THEREFORE
0x2251	0x2640	# FEMALE SIGN
0x2252	0x2642	# MALE SIGN
0x2253	0x2295	# CIRCLED PLUS
0x2254	0x2299	# CIRCLED DOT OPERATOR
0x2255	0x2191	# UPWARDS ARROW
0x2256	0x2193	# DOWNWARDS ARROW
0x2257	0x2192	# RIGHTWARDS ARROW
0x2258	0x2190	# LEFTWARDS ARROW
0x2259	0x2196	# NORTH WEST ARROW
0x225A	0x2197	# NORTH EAST ARROW
0x225B	0x2199	# SOUTH WEST ARROW
0x225C	0x2198	# SOUTH EAST ARROW
0x225D	0x2016	# DOUBLE VERTICAL LINE
0x225E	0x007C	# VERTICAL LINE
0x225F	0x2044	# FRACTION SLASH
0x2260	0x005C	# REVERSE SOLIDUS
0x2261	0x002F	# SOLIDUS
0x2262	0xFE68	# SMALL REVERSE SOLIDUS
0x2263	0x0024	# DOLLAR SIGN
0x2264	0x00A5	# YEN SIGN
0x2265	0x3012	# POSTAL MARK
0x2266	0x00A2	# CENT SIGN
0x2267	0x00A3	# POUND SIGN
0x2268	0x0025	# PERCENT SIGN
0x2269	0x0040	# COMMERCIAL AT
0x226A	0x2103	# DEGREE CELSIUS
0x226B	0x2109	# DEGREE FAHRENHEIT
